고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-05-08,4,체크카드,2777649,56
C100002,2026-05-08,4,신용카드,605441,12
C100003,2026-05-08,4,체크카드,0,0
C100004,2026-05-08,4,체크카드,0,0
C100005,2026-05-08,4,체크카드,2926399,59
C100006,2026-05-08,4,신용카드,0,0
C100007,2026-05-08,4,체크카드,3698676,74
C100008,2026-05-08,4,체크카드,409175,8
C100009,2026-05-08,4,체크카드,703869,14
C100010,2026-05-08,4,신용카드,641102,13
C100011,2026-05-08,4,신용카드,3221062,64
C100012,2026-05-08,4,체크카드,2996317,60
C100013,2026-05-08,4,신용카드,608185,12
C100014,2026-05-08,4,신용카드,0,0
C100015,2026-05-08,4,체크카드,2156452,43
C100016,2026-05-08,4,체크카드,253675,5
C100017,2026-05-08,4,체크카드,884990,18
C100018,2026-05-08,4,신용카드,851296,17
C100019,2026-05-08,4,체크카드,2573729,51
C100020,2026-05-08,4,체크카드,2924868,58
C100021,2026-05-08,4,체크카드,1080357,22
C100022,2026-05-08,4,신용카드,3283132,66
C100023,2026-05-08,4,체크카드,0,0
C100024,2026-05-08,4,신용카드,1478646,30
C100025,2026-05-08,4,체크카드,2877639,58
C100026,2026-05-08,4,신용카드,909605,18
C100027,2026-05-08,4,신용카드,1208372,24
C100028,2026-05-08,4,신용카드,1014154,20
C100029,2026-05-08,4,체크카드,1352357,27
C100030,2026-05-08,4,체크카드,0,0
C100031,2026-05-08,4,신용카드,2384565,48
C100032,2026-05-08,4,체크카드,1898554,38
C100033,2026-05-08,4,체크카드,0,0
C100034,2026-05-08,4,체크카드,2763401,55
C100035,2026-05-08,4,체크카드,2759572,55
C100036,2026-05-08,4,신용카드,2625723,53
C100037,2026-05-08,4,체크카드,931763,19
C100038,2026-05-08,4,신용카드,292590,6
C100039,2026-05-08,4,체크카드,3790319,76
C100040,2026-05-08,4,체크카드,2854897,57
C100041,2026-05-08,4,체크카드,0,0
C100042,2026-05-08,4,체크카드,2531247,51
C100043,2026-05-08,4,체크카드,473673,9
C100044,2026-05-08,4,체크카드,0,0
C100045,2026-05-08,4,체크카드,2560960,51
C100046,2026-05-08,4,신용카드,0,0
C100047,2026-05-08,4,신용카드,1484528,30
C100048,2026-05-08,4,신용카드,3177094,64
C100049,2026-05-08,4,체크카드,1795817,36
C100050,2026-05-08,4,신용카드,2814107,56
C100051,2026-05-08,4,체크카드,1306966,26
C100052,2026-05-08,4,신용카드,3005973,60
C100053,2026-05-08,4,신용카드,0,0
C100054,2026-05-08,4,체크카드,108929,2
C100055,2026-05-08,4,체크카드,175777,4
C100056,2026-05-08,4,체크카드,3239512,65
C100057,2026-05-08,4,체크카드,0,0
C100058,2026-05-08,4,신용카드,3143235,63
C100059,2026-05-08,4,체크카드,0,0
C100060,2026-05-08,4,체크카드,2452342,49
C100061,2026-05-08,4,신용카드,3634917,73
C100062,2026-05-08,4,체크카드,632900,13
C100063,2026-05-08,4,체크카드,1062341,21
C100064,2026-05-08,4,체크카드,2872278,57
C100065,2026-05-08,4,체크카드,2814565,56
C100066,2026-05-08,4,체크카드,1341260,27
C100067,2026-05-08,4,신용카드,3161409,63
C100068,2026-05-08,4,체크카드,3051864,61
C100069,2026-05-08,4,신용카드,3211010,64
C100070,2026-05-08,4,체크카드,905313,18
C100071,2026-05-08,4,신용카드,336334,7
C100072,2026-05-08,4,체크카드,3417742,68
C100073,2026-05-08,4,신용카드,913615,18
C100074,2026-05-08,4,신용카드,3598052,72
C100075,2026-05-08,4,신용카드,2659160,53
C100076,2026-05-08,4,체크카드,3089484,62
C100077,2026-05-08,4,체크카드,1447875,29
C100078,2026-05-08,4,체크카드,1706273,34
C100079,2026-05-08,4,체크카드,0,0
C100080,2026-05-08,4,신용카드,2136893,43
C100081,2026-05-08,4,신용카드,1386020,28
C100082,2026-05-08,4,신용카드,444793,9
C100083,2026-05-08,4,신용카드,1061209,21
C100084,2026-05-08,4,신용카드,2001252,40
C100085,2026-05-08,4,체크카드,0,0
C100086,2026-05-08,4,체크카드,1987370,40
C100087,2026-05-08,4,신용카드,0,0
C100088,2026-05-08,4,신용카드,0,0
C100089,2026-05-08,4,체크카드,1212172,24
C100090,2026-05-08,4,신용카드,495797,10
C100091,2026-05-08,4,체크카드,3671760,73
C100092,2026-05-08,4,신용카드,3319237,66
C100093,2026-05-08,4,체크카드,716246,14
C100094,2026-05-08,4,신용카드,2432641,49
C100095,2026-05-08,4,체크카드,723476,14
C100096,2026-05-08,4,신용카드,1464910,29
C100097,2026-05-08,4,신용카드,3382226,68
C100098,2026-05-08,4,체크카드,1450282,29
C100099,2026-05-08,4,체크카드,379391,8
C100100,2026-05-08,4,체크카드,1550801,31
C100101,2026-05-08,4,체크카드,3204940,64
C100102,2026-05-08,4,신용카드,3445284,69
C100103,2026-05-08,4,체크카드,3304027,66
C100104,2026-05-08,4,신용카드,3167891,63
C100105,2026-05-08,4,체크카드,82537,2
C100106,2026-05-08,4,체크카드,70801,1
C100107,2026-05-08,4,체크카드,1304169,26
C100108,2026-05-08,4,체크카드,1609145,32
C100109,2026-05-08,4,신용카드,1928692,39
C100110,2026-05-08,4,체크카드,1265173,25
C100111,2026-05-08,4,신용카드,3623268,72
C100112,2026-05-08,4,신용카드,0,0
C100113,2026-05-08,4,신용카드,2657433,53
C100114,2026-05-08,4,체크카드,3598814,72
C100115,2026-05-08,4,체크카드,3824417,76
C100116,2026-05-08,4,신용카드,1200421,24
C100117,2026-05-08,4,신용카드,170204,3
C100118,2026-05-08,4,신용카드,456581,9
C100119,2026-05-08,4,신용카드,775390,16
C100120,2026-05-08,4,체크카드,112905,2
C100121,2026-05-08,4,체크카드,803398,16
C100122,2026-05-08,4,신용카드,430015,9
C100123,2026-05-08,4,체크카드,0,0
C100124,2026-05-08,4,체크카드,921945,18
C100125,2026-05-08,4,신용카드,1006224,20
C100126,2026-05-08,4,신용카드,3314125,66
C100127,2026-05-08,4,신용카드,1915556,38
C100128,2026-05-08,4,신용카드,3877994,78
C100129,2026-05-08,4,신용카드,2949584,59
