고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-05-22,6,신용대출,0
C100002,2026-05-22,6,신용대출,0
C100003,2026-05-22,6,주택담보대출,46052068
C100004,2026-05-22,6,주택담보대출,34673903
C100005,2026-05-22,6,신용대출,6372411
C100006,2026-05-22,6,전세자금대출,23711024
C100007,2026-05-22,6,전세자금대출,0
C100008,2026-05-22,6,신용대출,105396295
C100009,2026-05-22,6,주택담보대출,0
C100010,2026-05-22,6,주택담보대출,108254423
C100011,2026-05-22,6,신용대출,0
C100012,2026-05-22,6,신용대출,0
C100013,2026-05-22,6,신용대출,0
C100014,2026-05-22,6,전세자금대출,63780707
C100015,2026-05-22,6,신용대출,102462630
C100016,2026-05-22,6,주택담보대출,79404781
C100017,2026-05-22,6,주택담보대출,49099099
C100018,2026-05-22,6,주택담보대출,82342345
C100019,2026-05-22,6,전세자금대출,0
C100020,2026-05-22,6,전세자금대출,0
C100021,2026-05-22,6,신용대출,18921174
C100022,2026-05-22,6,전세자금대출,11118243
C100023,2026-05-22,6,전세자금대출,9360667
C100024,2026-05-22,6,신용대출,35742193
C100025,2026-05-22,6,신용대출,84518738
C100026,2026-05-22,6,신용대출,9716193
C100027,2026-05-22,6,전세자금대출,94021202
C100028,2026-05-22,6,전세자금대출,102302358
C100029,2026-05-22,6,전세자금대출,115947009
C100030,2026-05-22,6,전세자금대출,0
C100031,2026-05-22,6,신용대출,0
C100032,2026-05-22,6,전세자금대출,51265976
C100033,2026-05-22,6,주택담보대출,0
C100034,2026-05-22,6,전세자금대출,0
C100035,2026-05-22,6,주택담보대출,92927318
C100036,2026-05-22,6,주택담보대출,73672676
C100037,2026-05-22,6,전세자금대출,64380188
C100038,2026-05-22,6,전세자금대출,0
C100039,2026-05-22,6,주택담보대출,26816446
C100040,2026-05-22,6,신용대출,0
C100041,2026-05-22,6,신용대출,32785310
C100042,2026-05-22,6,신용대출,107085358
C100043,2026-05-22,6,신용대출,74122734
C100044,2026-05-22,6,신용대출,5089999
C100045,2026-05-22,6,신용대출,0
C100046,2026-05-22,6,신용대출,0
C100047,2026-05-22,6,전세자금대출,64780461
C100048,2026-05-22,6,주택담보대출,50088106
C100049,2026-05-22,6,신용대출,0
C100050,2026-05-22,6,신용대출,89202546
C100051,2026-05-22,6,신용대출,0
C100052,2026-05-22,6,주택담보대출,0
C100053,2026-05-22,6,신용대출,114786646
C100054,2026-05-22,6,주택담보대출,42081079
C100055,2026-05-22,6,전세자금대출,98599820
C100056,2026-05-22,6,전세자금대출,0
C100057,2026-05-22,6,전세자금대출,6318814
