고객ID,기준일자,주차,상품구분,보험잔액
C100001,2026-05-29,7,저축성보험,0
C100002,2026-05-29,7,저축성보험,0
C100003,2026-05-29,7,저축성보험,17139398
C100004,2026-05-29,7,보장성보험,0
C100005,2026-05-29,7,저축성보험,28150753
C100006,2026-05-29,7,보장성보험,0
C100007,2026-05-29,7,저축성보험,0
C100008,2026-05-29,7,보장성보험,38828744
C100009,2026-05-29,7,보장성보험,0
C100010,2026-05-29,7,저축성보험,0
C100011,2026-05-29,7,보장성보험,46033412
C100012,2026-05-29,7,보장성보험,0
C100013,2026-05-29,7,저축성보험,17478682
C100014,2026-05-29,7,보장성보험,21231372
C100015,2026-05-29,7,보장성보험,17260955
C100016,2026-05-29,7,보장성보험,7142467
C100017,2026-05-29,7,저축성보험,35850386
C100018,2026-05-29,7,저축성보험,45583364
C100019,2026-05-29,7,보장성보험,11590049
C100020,2026-05-29,7,보장성보험,0
C100021,2026-05-29,7,저축성보험,15297022
C100022,2026-05-29,7,저축성보험,10253651
C100023,2026-05-29,7,보장성보험,47328571
C100024,2026-05-29,7,저축성보험,0
C100025,2026-05-29,7,보장성보험,0
C100026,2026-05-29,7,보장성보험,0
C100027,2026-05-29,7,저축성보험,31286937
C100028,2026-05-29,7,보장성보험,37556825
C100029,2026-05-29,7,보장성보험,21330851
C100030,2026-05-29,7,보장성보험,0
C100031,2026-05-29,7,저축성보험,0
C100032,2026-05-29,7,저축성보험,0
C100033,2026-05-29,7,저축성보험,0
C100034,2026-05-29,7,저축성보험,10104178
C100035,2026-05-29,7,보장성보험,0
C100036,2026-05-29,7,저축성보험,0
C100037,2026-05-29,7,저축성보험,4117869
C100038,2026-05-29,7,저축성보험,10166577
C100039,2026-05-29,7,보장성보험,15764334
C100040,2026-05-29,7,보장성보험,0
C100041,2026-05-29,7,보장성보험,0
C100042,2026-05-29,7,보장성보험,0
C100043,2026-05-29,7,보장성보험,15869312
C100044,2026-05-29,7,보장성보험,19489788
C100045,2026-05-29,7,보장성보험,43793789
C100046,2026-05-29,7,저축성보험,0
C100047,2026-05-29,7,보장성보험,17600191
C100048,2026-05-29,7,저축성보험,3571959
C100049,2026-05-29,7,보장성보험,0
C100050,2026-05-29,7,저축성보험,8626097
C100051,2026-05-29,7,저축성보험,37824231
C100052,2026-05-29,7,저축성보험,30687859
C100053,2026-05-29,7,보장성보험,28118086
C100054,2026-05-29,7,보장성보험,16209983
C100055,2026-05-29,7,저축성보험,0
C100056,2026-05-29,7,보장성보험,33133786
C100057,2026-05-29,7,저축성보험,0
C100058,2026-05-29,7,저축성보험,23831700
C100059,2026-05-29,7,보장성보험,49411348
C100060,2026-05-29,7,보장성보험,34303527
C100061,2026-05-29,7,저축성보험,0
C100062,2026-05-29,7,보장성보험,15545046
C100063,2026-05-29,7,보장성보험,0
C100064,2026-05-29,7,저축성보험,35001003
C100065,2026-05-29,7,보장성보험,43265900
C100066,2026-05-29,7,저축성보험,0
C100067,2026-05-29,7,보장성보험,0
C100068,2026-05-29,7,저축성보험,19502007
C100069,2026-05-29,7,저축성보험,13217615
C100070,2026-05-29,7,보장성보험,29537409
C100071,2026-05-29,7,저축성보험,0
C100072,2026-05-29,7,보장성보험,15029649
C100073,2026-05-29,7,저축성보험,31260873
C100074,2026-05-29,7,보장성보험,0
C100075,2026-05-29,7,보장성보험,0
C100076,2026-05-29,7,저축성보험,30144462
C100077,2026-05-29,7,보장성보험,0
C100078,2026-05-29,7,저축성보험,23559056
C100079,2026-05-29,7,보장성보험,12998598
C100080,2026-05-29,7,저축성보험,22682811
C100081,2026-05-29,7,저축성보험,32359610
C100082,2026-05-29,7,저축성보험,42904293
C100083,2026-05-29,7,보장성보험,0
C100084,2026-05-29,7,저축성보험,0
C100085,2026-05-29,7,저축성보험,32276973
C100086,2026-05-29,7,저축성보험,46915723
C100087,2026-05-29,7,저축성보험,0
C100088,2026-05-29,7,저축성보험,35881063
C100089,2026-05-29,7,보장성보험,33743718
C100090,2026-05-29,7,저축성보험,0
C100091,2026-05-29,7,보장성보험,27187330
C100092,2026-05-29,7,보장성보험,47414524
C100093,2026-05-29,7,보장성보험,0
C100094,2026-05-29,7,저축성보험,24391255
C100095,2026-05-29,7,저축성보험,11956551
C100096,2026-05-29,7,저축성보험,3185643
C100097,2026-05-29,7,보장성보험,0
C100098,2026-05-29,7,보장성보험,0
C100099,2026-05-29,7,보장성보험,0
C100100,2026-05-29,7,저축성보험,0
C100101,2026-05-29,7,보장성보험,12979161
C100102,2026-05-29,7,저축성보험,0
C100103,2026-05-29,7,보장성보험,34635572
C100104,2026-05-29,7,저축성보험,28700102
C100105,2026-05-29,7,보장성보험,0
C100106,2026-05-29,7,저축성보험,8434309
C100107,2026-05-29,7,저축성보험,0
C100108,2026-05-29,7,보장성보험,21726258
C100109,2026-05-29,7,저축성보험,43550184
C100110,2026-05-29,7,저축성보험,26327808
C100111,2026-05-29,7,저축성보험,43817148
C100112,2026-05-29,7,보장성보험,0
C100113,2026-05-29,7,보장성보험,0
C100114,2026-05-29,7,저축성보험,30294977
C100115,2026-05-29,7,저축성보험,40835149
C100116,2026-05-29,7,보장성보험,3319389
C100117,2026-05-29,7,저축성보험,0
C100118,2026-05-29,7,저축성보험,0
C100119,2026-05-29,7,보장성보험,0
C100120,2026-05-29,7,저축성보험,39420735
C100121,2026-05-29,7,저축성보험,15616721
C100122,2026-05-29,7,보장성보험,23281172
C100123,2026-05-29,7,저축성보험,15096936
C100124,2026-05-29,7,보장성보험,31609309
C100125,2026-05-29,7,저축성보험,39665090
C100126,2026-05-29,7,저축성보험,0
C100127,2026-05-29,7,보장성보험,0
C100128,2026-05-29,7,보장성보험,24192756
C100129,2026-05-29,7,보장성보험,3325784
C100130,2026-05-29,7,저축성보험,27142781
C100131,2026-05-29,7,저축성보험,24726228
C100132,2026-05-29,7,보장성보험,0
C100133,2026-05-29,7,보장성보험,2641351
C100134,2026-05-29,7,보장성보험,29661522
C100135,2026-05-29,7,저축성보험,5758200
C100136,2026-05-29,7,보장성보험,0
C100137,2026-05-29,7,저축성보험,45279575
C100138,2026-05-29,7,보장성보험,8247704
C100139,2026-05-29,7,보장성보험,17102299
C100140,2026-05-29,7,저축성보험,0
C100141,2026-05-29,7,저축성보험,0
C100142,2026-05-29,7,보장성보험,39715809
C100143,2026-05-29,7,저축성보험,0
C100144,2026-05-29,7,저축성보험,0
C100145,2026-05-29,7,보장성보험,0
C100146,2026-05-29,7,보장성보험,47295166
C100147,2026-05-29,7,보장성보험,10614172
C100148,2026-05-29,7,보장성보험,27341413
C100149,2026-05-29,7,저축성보험,31328851
C100150,2026-05-29,7,저축성보험,0
C100151,2026-05-29,7,보장성보험,37019373
C100152,2026-05-29,7,보장성보험,0
C100153,2026-05-29,7,보장성보험,0
C100154,2026-05-29,7,보장성보험,46595939
C100155,2026-05-29,7,저축성보험,26813663
C100156,2026-05-29,7,보장성보험,4273142
C100157,2026-05-29,7,보장성보험,24961966
C100158,2026-05-29,7,저축성보험,47335920
C100159,2026-05-29,7,보장성보험,2459673
C100160,2026-05-29,7,보장성보험,0
C100161,2026-05-29,7,보장성보험,13798986
C100162,2026-05-29,7,저축성보험,37333400
C100163,2026-05-29,7,보장성보험,23663339
C100164,2026-05-29,7,저축성보험,35158923
C100165,2026-05-29,7,보장성보험,26829000
C100166,2026-05-29,7,저축성보험,26279965
C100167,2026-05-29,7,저축성보험,41007835
C100168,2026-05-29,7,보장성보험,0
C100169,2026-05-29,7,저축성보험,45540011
C100170,2026-05-29,7,저축성보험,30088573
C100171,2026-05-29,7,저축성보험,31836948
C100172,2026-05-29,7,저축성보험,24460217
C100173,2026-05-29,7,보장성보험,23984297
C100174,2026-05-29,7,보장성보험,28542487
C100175,2026-05-29,7,보장성보험,12558970
C100176,2026-05-29,7,저축성보험,35809822
C100177,2026-05-29,7,저축성보험,2437711
C100178,2026-05-29,7,보장성보험,16831034
C100179,2026-05-29,7,저축성보험,0
C100180,2026-05-29,7,저축성보험,0
C100181,2026-05-29,7,보장성보험,0
C100182,2026-05-29,7,보장성보험,6537425
C100183,2026-05-29,7,보장성보험,0
C100184,2026-05-29,7,저축성보험,39688960
C100185,2026-05-29,7,보장성보험,42346313
C100186,2026-05-29,7,저축성보험,24219778
C100187,2026-05-29,7,저축성보험,7109111
C100188,2026-05-29,7,보장성보험,0
C100189,2026-05-29,7,저축성보험,31021092
C100190,2026-05-29,7,저축성보험,23782495
C100191,2026-05-29,7,보장성보험,0
C100192,2026-05-29,7,보장성보험,0
C100193,2026-05-29,7,저축성보험,0
C100194,2026-05-29,7,보장성보험,30376929
C100195,2026-05-29,7,보장성보험,19461127
C100196,2026-05-29,7,보장성보험,46724853
C100197,2026-05-29,7,저축성보험,29404248
C100198,2026-05-29,7,보장성보험,39893625
C100199,2026-05-29,7,저축성보험,25675793
C100200,2026-05-29,7,저축성보험,0
C100201,2026-05-29,7,저축성보험,0
C100202,2026-05-29,7,저축성보험,0
C100203,2026-05-29,7,저축성보험,0
C100204,2026-05-29,7,저축성보험,0
C100205,2026-05-29,7,저축성보험,26560020
C100206,2026-05-29,7,저축성보험,6597916
C100207,2026-05-29,7,저축성보험,29746531
C100208,2026-05-29,7,저축성보험,2224582
C100209,2026-05-29,7,보장성보험,0
C100210,2026-05-29,7,저축성보험,0
C100211,2026-05-29,7,보장성보험,0
C100212,2026-05-29,7,보장성보험,10888600
C100213,2026-05-29,7,저축성보험,18483442
C100214,2026-05-29,7,저축성보험,26302014
C100215,2026-05-29,7,저축성보험,28700949
C100216,2026-05-29,7,저축성보험,6174557
C100217,2026-05-29,7,보장성보험,0
C100218,2026-05-29,7,저축성보험,12609827
C100219,2026-05-29,7,보장성보험,6347011
C100220,2026-05-29,7,보장성보험,28871648
C100221,2026-05-29,7,보장성보험,23178239
C100222,2026-05-29,7,저축성보험,33422003
C100223,2026-05-29,7,저축성보험,42676070
C100224,2026-05-29,7,보장성보험,27654758
C100225,2026-05-29,7,보장성보험,0
C100226,2026-05-29,7,저축성보험,0
C100227,2026-05-29,7,저축성보험,0
C100228,2026-05-29,7,저축성보험,11600929
C100229,2026-05-29,7,저축성보험,0
C100230,2026-05-29,7,보장성보험,0
C100231,2026-05-29,7,저축성보험,5251771
C100232,2026-05-29,7,저축성보험,4691377
C100233,2026-05-29,7,저축성보험,1191999
C100234,2026-05-29,7,저축성보험,21026020
C100235,2026-05-29,7,저축성보험,15539886
C100236,2026-05-29,7,보장성보험,0
C100237,2026-05-29,7,저축성보험,2517950
C100238,2026-05-29,7,저축성보험,0
C100239,2026-05-29,7,보장성보험,0
C100240,2026-05-29,7,보장성보험,0
C100241,2026-05-29,7,저축성보험,17241942
C100242,2026-05-29,7,보장성보험,20139670
C100243,2026-05-29,7,저축성보험,41030040
C100244,2026-05-29,7,보장성보험,3004138
C100245,2026-05-29,7,보장성보험,28396383
C100246,2026-05-29,7,저축성보험,0
C100247,2026-05-29,7,보장성보험,0
C100248,2026-05-29,7,보장성보험,46907144
C100249,2026-05-29,7,보장성보험,48614986
C100250,2026-05-29,7,보장성보험,44316502
C100251,2026-05-29,7,보장성보험,0
C100252,2026-05-29,7,저축성보험,25019343
C100253,2026-05-29,7,저축성보험,33829692
C100254,2026-05-29,7,저축성보험,0
C100255,2026-05-29,7,보장성보험,0
C100256,2026-05-29,7,보장성보험,0
C100257,2026-05-29,7,보장성보험,42402174
C100258,2026-05-29,7,보장성보험,20297130
C100259,2026-05-29,7,저축성보험,0
C100260,2026-05-29,7,저축성보험,16467911
C100261,2026-05-29,7,저축성보험,0
C100262,2026-05-29,7,보장성보험,19564997
C100263,2026-05-29,7,저축성보험,0
C100264,2026-05-29,7,저축성보험,22147008
C100265,2026-05-29,7,보장성보험,0
C100266,2026-05-29,7,저축성보험,0
C100267,2026-05-29,7,보장성보험,7999842
C100268,2026-05-29,7,저축성보험,0
C100269,2026-05-29,7,저축성보험,0
C100270,2026-05-29,7,보장성보험,21708615
C100271,2026-05-29,7,저축성보험,10905349
C100272,2026-05-29,7,저축성보험,48927329
C100273,2026-05-29,7,저축성보험,13677488
C100274,2026-05-29,7,저축성보험,0
C100275,2026-05-29,7,저축성보험,0
C100276,2026-05-29,7,저축성보험,14327420
C100277,2026-05-29,7,보장성보험,0
C100278,2026-05-29,7,저축성보험,44624594
C100279,2026-05-29,7,저축성보험,0
C100280,2026-05-29,7,보장성보험,0
C100281,2026-05-29,7,저축성보험,0
C100282,2026-05-29,7,보장성보험,34457541
C100283,2026-05-29,7,보장성보험,0
C100284,2026-05-29,7,보장성보험,41566813
C100285,2026-05-29,7,저축성보험,9202948
C100286,2026-05-29,7,저축성보험,0
C100287,2026-05-29,7,보장성보험,34040409
C100288,2026-05-29,7,보장성보험,15208344
C100289,2026-05-29,7,저축성보험,12048490
C100290,2026-05-29,7,보장성보험,0
C100291,2026-05-29,7,보장성보험,14917482
C100292,2026-05-29,7,보장성보험,0
C100293,2026-05-29,7,저축성보험,0
C100294,2026-05-29,7,저축성보험,26796181
C100295,2026-05-29,7,저축성보험,29800509
C100296,2026-05-29,7,보장성보험,0
C100297,2026-05-29,7,저축성보험,9813565
C100298,2026-05-29,7,저축성보험,20123248
C100299,2026-05-29,7,보장성보험,18096481
C100300,2026-05-29,7,저축성보험,0
C100301,2026-05-29,7,보장성보험,44851629
C100302,2026-05-29,7,보장성보험,0
C100303,2026-05-29,7,보장성보험,0
C100304,2026-05-29,7,저축성보험,0
C100305,2026-05-29,7,저축성보험,10315705
C100306,2026-05-29,7,보장성보험,11404752
C100307,2026-05-29,7,저축성보험,0
C100308,2026-05-29,7,보장성보험,0
C100309,2026-05-29,7,보장성보험,48301318
C100310,2026-05-29,7,보장성보험,8785057
C100311,2026-05-29,7,저축성보험,4681650
C100312,2026-05-29,7,보장성보험,27754613
C100313,2026-05-29,7,보장성보험,1760164
C100314,2026-05-29,7,보장성보험,0
C100315,2026-05-29,7,보장성보험,33363303
C100316,2026-05-29,7,보장성보험,0
C100317,2026-05-29,7,저축성보험,48840975
C100318,2026-05-29,7,저축성보험,21544870
C100319,2026-05-29,7,보장성보험,35419047
C100320,2026-05-29,7,저축성보험,13155590
C100321,2026-05-29,7,보장성보험,0
C100322,2026-05-29,7,저축성보험,0
C100323,2026-05-29,7,저축성보험,44002125
C100324,2026-05-29,7,보장성보험,5615870
C100325,2026-05-29,7,보장성보험,17463198
C100326,2026-05-29,7,저축성보험,44882396
C100327,2026-05-29,7,저축성보험,37704233
C100328,2026-05-29,7,보장성보험,39646658
C100329,2026-05-29,7,저축성보험,43486755
C100330,2026-05-29,7,보장성보험,40252619
C100331,2026-05-29,7,보장성보험,26283214
C100332,2026-05-29,7,보장성보험,0
C100333,2026-05-29,7,보장성보험,28709042
C100334,2026-05-29,7,보장성보험,15354816
C100335,2026-05-29,7,저축성보험,0
C100336,2026-05-29,7,보장성보험,0
C100337,2026-05-29,7,보장성보험,0
C100338,2026-05-29,7,보장성보험,38730216
C100339,2026-05-29,7,저축성보험,4774001
C100340,2026-05-29,7,보장성보험,34443410
C100341,2026-05-29,7,보장성보험,0
C100342,2026-05-29,7,저축성보험,29321538
C100343,2026-05-29,7,보장성보험,46785617
C100344,2026-05-29,7,보장성보험,0
C100345,2026-05-29,7,보장성보험,0
C100346,2026-05-29,7,저축성보험,0
C100347,2026-05-29,7,저축성보험,49030377
C100348,2026-05-29,7,보장성보험,5864409
C100349,2026-05-29,7,저축성보험,0
C100350,2026-05-29,7,저축성보험,27096837
C100351,2026-05-29,7,저축성보험,0
C100352,2026-05-29,7,보장성보험,0
C100353,2026-05-29,7,저축성보험,48573784
C100354,2026-05-29,7,보장성보험,18040551
C100355,2026-05-29,7,저축성보험,0
C100356,2026-05-29,7,저축성보험,16326990
C100357,2026-05-29,7,보장성보험,12132263
C100358,2026-05-29,7,저축성보험,16658165
C100359,2026-05-29,7,보장성보험,6728162
C100360,2026-05-29,7,저축성보험,39856022
C100361,2026-05-29,7,보장성보험,24208070
C100362,2026-05-29,7,저축성보험,13529713
C100363,2026-05-29,7,저축성보험,4704323
C100364,2026-05-29,7,저축성보험,1956983
C100365,2026-05-29,7,보장성보험,48872351
C100366,2026-05-29,7,저축성보험,2471141
C100367,2026-05-29,7,저축성보험,47153331
C100368,2026-05-29,7,보장성보험,0
C100369,2026-05-29,7,저축성보험,48076375
C100370,2026-05-29,7,보장성보험,0
C100371,2026-05-29,7,보장성보험,14026299
C100372,2026-05-29,7,저축성보험,0
C100373,2026-05-29,7,저축성보험,24078003
C100374,2026-05-29,7,보장성보험,11354931
C100375,2026-05-29,7,보장성보험,0
C100376,2026-05-29,7,저축성보험,0
C100377,2026-05-29,7,저축성보험,10185936
C100378,2026-05-29,7,저축성보험,30825901
C100379,2026-05-29,7,보장성보험,0
C100380,2026-05-29,7,저축성보험,45047571
C100381,2026-05-29,7,저축성보험,33035732
C100382,2026-05-29,7,보장성보험,12470484
C100383,2026-05-29,7,저축성보험,0
C100384,2026-05-29,7,저축성보험,1023767
C100385,2026-05-29,7,보장성보험,0
C100386,2026-05-29,7,보장성보험,0
C100387,2026-05-29,7,보장성보험,0
C100388,2026-05-29,7,보장성보험,0
C100389,2026-05-29,7,저축성보험,14558714
C100390,2026-05-29,7,보장성보험,15544382
C100391,2026-05-29,7,보장성보험,4882436
C100392,2026-05-29,7,보장성보험,0
C100393,2026-05-29,7,저축성보험,0
C100394,2026-05-29,7,저축성보험,0
C100395,2026-05-29,7,보장성보험,47778397
C100396,2026-05-29,7,저축성보험,44600174
C100397,2026-05-29,7,보장성보험,51189212
