고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-06-19,10,정기예금,8339716
C100002,2026-06-19,10,정기예금,49770907
C100003,2026-06-19,10,적금,37431095
C100004,2026-06-19,10,적금,56448222
C100005,2026-06-19,10,입출금예금,38936875
C100006,2026-06-19,10,적금,2519708
C100007,2026-06-19,10,적금,68377258
C100008,2026-06-19,10,입출금예금,3544138
C100009,2026-06-19,10,적금,63578853
C100010,2026-06-19,10,입출금예금,9877138
C100011,2026-06-19,10,적금,66329170
C100012,2026-06-19,10,정기예금,64725999
C100013,2026-06-19,10,적금,27613626
C100014,2026-06-19,10,입출금예금,76559442
C100015,2026-06-19,10,정기예금,74433315
C100016,2026-06-19,10,적금,38625125
C100017,2026-06-19,10,입출금예금,5072143
C100018,2026-06-19,10,정기예금,83055188
C100019,2026-06-19,10,적금,68918920
C100020,2026-06-19,10,정기예금,42987702
C100021,2026-06-19,10,정기예금,34601466
C100022,2026-06-19,10,정기예금,56722446
C100023,2026-06-19,10,입출금예금,25604789
C100024,2026-06-19,10,정기예금,41097294
C100025,2026-06-19,10,입출금예금,7012268
C100026,2026-06-19,10,정기예금,57221151
C100027,2026-06-19,10,입출금예금,2149621
C100028,2026-06-19,10,정기예금,26048682
C100029,2026-06-19,10,정기예금,43459293
C100030,2026-06-19,10,정기예금,4310624
C100031,2026-06-19,10,적금,66606325
C100032,2026-06-19,10,적금,45819554
C100033,2026-06-19,10,적금,71057227
C100034,2026-06-19,10,적금,13322999
C100035,2026-06-19,10,입출금예금,59493786
C100036,2026-06-19,10,적금,63487351
C100037,2026-06-19,10,입출금예금,12496889
C100038,2026-06-19,10,정기예금,47861481
C100039,2026-06-19,10,적금,0
C100040,2026-06-19,10,적금,53613710
C100041,2026-06-19,10,입출금예금,62982105
C100042,2026-06-19,10,입출금예금,53051557
C100043,2026-06-19,10,적금,0
C100044,2026-06-19,10,정기예금,5962642
C100045,2026-06-19,10,적금,0
C100046,2026-06-19,10,적금,28575427
C100047,2026-06-19,10,적금,59435837
C100048,2026-06-19,10,입출금예금,59374626
C100049,2026-06-19,10,적금,48303386
C100050,2026-06-19,10,입출금예금,58657010
C100051,2026-06-19,10,적금,59686521
C100052,2026-06-19,10,정기예금,43482049
C100053,2026-06-19,10,입출금예금,23916471
C100054,2026-06-19,10,적금,72034463
C100055,2026-06-19,10,정기예금,36035339
C100056,2026-06-19,10,적금,25446839
C100057,2026-06-19,10,적금,45621355
C100058,2026-06-19,10,정기예금,36970871
C100059,2026-06-19,10,입출금예금,49094882
C100060,2026-06-19,10,정기예금,71765026
C100061,2026-06-19,10,정기예금,73886637
C100062,2026-06-19,10,적금,28377893
C100063,2026-06-19,10,적금,4643194
C100064,2026-06-19,10,적금,63845980
C100065,2026-06-19,10,입출금예금,48709069
C100066,2026-06-19,10,입출금예금,6611153
C100067,2026-06-19,10,정기예금,67281863
C100068,2026-06-19,10,정기예금,17412355
C100069,2026-06-19,10,적금,8361736
C100070,2026-06-19,10,적금,14792187
C100071,2026-06-19,10,입출금예금,34670691
C100072,2026-06-19,10,입출금예금,40193149
C100073,2026-06-19,10,적금,24547406
C100074,2026-06-19,10,정기예금,66724739
C100075,2026-06-19,10,입출금예금,75178727
C100076,2026-06-19,10,적금,61520590
C100077,2026-06-19,10,적금,36588193
C100078,2026-06-19,10,정기예금,57491078
C100079,2026-06-19,10,적금,26286374
C100080,2026-06-19,10,입출금예금,54339357
C100081,2026-06-19,10,입출금예금,20696433
C100082,2026-06-19,10,정기예금,36576610
C100083,2026-06-19,10,입출금예금,23879666
C100084,2026-06-19,10,적금,37479303
C100085,2026-06-19,10,적금,32251165
C100086,2026-06-19,10,입출금예금,55137392
C100087,2026-06-19,10,입출금예금,60031466
C100088,2026-06-19,10,입출금예금,28405862
C100089,2026-06-19,10,정기예금,62705792
C100090,2026-06-19,10,정기예금,59308717
C100091,2026-06-19,10,적금,0
C100092,2026-06-19,10,적금,53143272
C100093,2026-06-19,10,정기예금,12780835
C100094,2026-06-19,10,정기예금,27354429
C100095,2026-06-19,10,입출금예금,38373934
C100096,2026-06-19,10,정기예금,44713407
C100097,2026-06-19,10,입출금예금,24044967
C100098,2026-06-19,10,적금,19676953
C100099,2026-06-19,10,입출금예금,65203711
C100100,2026-06-19,10,입출금예금,78195516
